node_id,node_name,type,module,feature,status,risk_score,impact_score,impact_delta,transitive_out_count,reasons
TEST-BROWSER-ASSETS-OVERVIEW,Browser rendered Assets overview proof,test,assets,assets-context,verified,732,122,122,112,impact_delta:122;high_transitive_impact;wide_change_surface
AGENT-COORDINATOR,Coordinator agent role,agent,agents,agent-workflow,verified,492,477,3,347,impact_delta:3;high_transitive_impact;wide_change_surface
FEAT-AUTO-0020,Operating Model Coverage Expansion,feature,operating-model,operating-model-coverage,implemented,213,208,1,143,impact_delta:1;high_transitive_impact;wide_change_surface
TEST-API-LOCAL,npm run test:api:local,test,cross-app,cross-app,verified,204,199,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-ASSETS-CONTEXT,Assets Context Workbench,feature,assets,assets-context,verified,194,179,3,112,impact_delta:3;high_transitive_impact;wide_change_surface
FEAT-AUTO-0006,Company Os Coverage Expansion,feature,company-os,company-os-coverage,implemented,192,187,1,136,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-AUTO-0015,Integration Settings Coverage Expansion,feature,integration-settings,integration-settings-coverage,implemented,171,166,1,129,impact_delta:1;high_transitive_impact;wide_change_surface
COMP-SHELL,Authenticated Shell component,component,shell,cross-app,verified,166,161,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-ARCH-EVIDENCE-SYSTEM,Architecture Evidence System,feature,architecture,architecture-evidence,implemented,163,163,0,58,high_transitive_impact;wide_change_surface
FEAT-PEOPLE-AGENTS-DIRECTORY,People and Agents Directory,feature,workforce,people-agents-directory,verified,156,151,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-OPERATIONS-WORK-ITEMS,Operations Work Items,feature,operations,operations-work-items,verified,150,145,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-AUTO-0013,Google Drive Coverage Expansion,feature,google-drive,google-drive-coverage,implemented,150,145,1,122,impact_delta:1;high_transitive_impact;wide_change_surface
DB-TASK,Task model,database_model,operations,operations-work-items,verified,149,144,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-DASHBOARD-COMMAND,Dashboard Command Packet,feature,dashboard,dashboard-command,verified,148,143,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-AUTO-0028,Tasks Coverage Expansion,feature,tasks,tasks-coverage,implemented,147,142,1,121,impact_delta:1;high_transitive_impact;wide_change_surface
DB-GOOGLE-DRIVE-FILE,google_drive_files model,database_model,assets,assets-context,verified,146,136,2,112,impact_delta:2;high_transitive_impact;wide_change_surface
FEAT-MGMT-DEPT-CATALOG,Management Department Catalog,feature,management,management-department-catalog,verified,144,139,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
DB-WORKFORCE-ENTITY,workforce_entities model,database_model,workforce,people-agents-directory,verified,144,139,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
COMP-OPERATIONS-ROUTE,OperationsRoute component,component,operations,operations-work-items,verified,141,136,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
COMP-MANAGEMENT-ROUTE,ManagementRoute component,component,management,management-department-catalog,verified,140,135,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
DB-WORKSPACE-DEPARTMENTS,workspace_departments model,database_model,departments,management-department-catalog,verified,139,134,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
API-DASHBOARD-COMMAND,GET /v1/dashboard/command,api_route,dashboard,dashboard-command,verified,139,134,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
API-DEPARTMENTS-LIST,GET /v1/departments,api_route,departments,management-department-catalog,verified,138,133,1,112,impact_delta:1;high_transitive_impact;wide_change_surface
COMP-ASSETS-ROUTE,AssetsRoute component,component,assets,assets-context,verified,138,128,2,112,impact_delta:2;high_transitive_impact;wide_change_surface
DOC-ASSETS-CONTEXT-CONTRACT,Assets context task contract,documentation,assets,assets-context,verified,137,127,2,112,impact_delta:2;high_transitive_impact;wide_change_surface
